arm,instance,model,featurizer,featurizer_args,model_args,dataset,dataset_rows,cross_validation,fold,wall_s,featurize_s,fit_s,predict_s,dataset_load_s,peak_rss_mb,peak_vram_mb,epochs,device,X_shape,n_train,n_test,status,task_cost_usd,task_realtime_s,tier,model_class,compute_class,instance_family
batch_gpu,g4dn.xlarge,GNN,HELMGraph,{},"{""hidden_dim"": 64, ""num_layers"": 1, ""pooling_operation"": ""avg""}",asoptimizer_cleaned,32602,nucleobase,2,529.9069470260001,132.86789856299993,341.2097425679999,3.452965658000039,0.4460209240000381,2288.72192,19.98592,100.0,cuda:Tesla T4,"[23423, 'graph']",23423.0,9179.0,ok,0.3740444607,2551.398,L,GNN,gpu,g4dn
batch_gpu,g4dn.xlarge,GNN,HELMGraph,{},"{""hidden_dim"": 64, ""num_layers"": 1, ""pooling_operation"": ""avg""}",asoptimizer_cleaned,32602,nucleobase,3,460.7645111960003,133.42758589599998,271.01809105099983,3.5998886889997266,0.4460209240000381,2300.428288,19.95008,79.0,cuda:Tesla T4,"[23507, 'graph']",23507.0,9095.0,ok,0.3740444607,2551.398,L,GNN,gpu,g4dn
batch_gpu,g4dn.xlarge,GNN,HELMGraph,{},"{""hidden_dim"": 64, ""num_layers"": 1, ""pooling_operation"": ""avg""}",asoptimizer_cleaned,32602,nucleobase,4,524.7967060999999,135.723928547,333.1139581900002,3.242526135999924,0.4460209240000381,2314.4448,19.935232,89.0,cuda:Tesla T4,"[25606, 'graph']",25606.0,6996.0,ok,0.3740444607,2551.398,L,GNN,gpu,g4dn
batch_gpu,g4dn.xlarge,GNN,HELMGraph,{},"{""hidden_dim"": 64, ""num_layers"": 1, ""pooling_operation"": ""avg""}",asoptimizer_cleaned,32602,nucleobase,0,545.616930873,134.96811739999998,354.919847622,3.510449031999997,0.4460209240000381,2241.273856,19.950592,96.0,cuda:Tesla T4,"[25428, 'graph']",25428.0,7174.0,ok,0.3740444607,2551.398,L,GNN,gpu,g4dn
batch_gpu,g4dn.xlarge,GNN,HELMGraph,{},"{""hidden_dim"": 64, ""num_layers"": 1, ""pooling_operation"": ""avg""}",asoptimizer_cleaned,32602,nucleobase,1,481.33685658800005,136.07322751399988,288.634990945,3.462116249000019,0.4460209240000381,2297.91744,19.885568,78.0,cuda:Tesla T4,"[25448, 'graph']",25448.0,7154.0,ok,0.3740444607,2551.398,L,GNN,gpu,g4dn
batch_gpu,g4dn.xlarge,GNN,HELMGraph,{},"{""hidden_dim"": 64, ""num_layers"": 1, ""pooling_operation"": ""avg""}",asoptimizer_cleaned,32602,nucleobase,2,529.9069470260001,132.86789856299993,341.2097425679999,3.452965658000039,0.4460209240000381,2288.72192,19.98592,100.0,cuda:Tesla T4,"[23423, 'graph']",23423.0,9179.0,ok,0.3740444607,2551.398,L,GNN,gpu,g4dn
batch_gpu,g4dn.xlarge,GNN,HELMGraph,{},"{""hidden_dim"": 64, ""num_layers"": 1, ""pooling_operation"": ""avg""}",asoptimizer_cleaned,32602,nucleobase,3,460.7645111960003,133.42758589599998,271.01809105099983,3.5998886889997266,0.4460209240000381,2300.428288,19.95008,79.0,cuda:Tesla T4,"[23507, 'graph']",23507.0,9095.0,ok,0.3740444607,2551.398,L,GNN,gpu,g4dn
batch_gpu,g4dn.xlarge,GNN,HELMGraph,{},"{""hidden_dim"": 64, ""num_layers"": 1, ""pooling_operation"": ""avg""}",asoptimizer_cleaned,32602,nucleobase,4,524.7967060999999,135.723928547,333.1139581900002,3.242526135999924,0.4460209240000381,2314.4448,19.935232,89.0,cuda:Tesla T4,"[25606, 'graph']",25606.0,6996.0,ok,0.3740444607,2551.398,L,GNN,gpu,g4dn
batch_gpu,g4dn.2xlarge,MLP,KMersCounts,"{""k"": [1], ""modification_abundance"": false}","{""dropout"": 0.25, ""hidden_dims"": [64]}",asoptimizer_cleaned,32602,nucleobase,0,258.31079045399997,52.115592848000006,151.01489390100005,0.015442904000110502,0.48032310400003553,1515.597824,17.08544,75.0,cuda:Tesla T4,"[25428, 5]",25428.0,7174.0,ok,0.1326444399,1259.958,L,MLP,gpu,g4dn
batch_gpu,g4dn.2xlarge,MLP,KMersCounts,"{""k"": [1], ""modification_abundance"": false}","{""dropout"": 0.25, ""hidden_dims"": [64]}",asoptimizer_cleaned,32602,nucleobase,1,215.46381884000016,52.8926943030001,106.21009448599989,0.013318781999714702,0.48032310400003553,1654.718464,17.08544,53.0,cuda:Tesla T4,"[25448, 5]",25448.0,7154.0,ok,0.1326444399,1259.958,L,MLP,gpu,g4dn
batch_gpu,g4dn.2xlarge,MLP,KMersCounts,"{""k"": [1], ""modification_abundance"": false}","{""dropout"": 0.25, ""hidden_dims"": [64]}",asoptimizer_cleaned,32602,nucleobase,2,255.993616492,52.20073356600005,147.54399686099987,0.010860377999961202,0.48032310400003553,1664.073728,17.08544,81.0,cuda:Tesla T4,"[23423, 5]",23423.0,9179.0,ok,0.1326444399,1259.958,L,MLP,gpu,g4dn
batch_gpu,g4dn.2xlarge,MLP,KMersCounts,"{""k"": [1], ""modification_abundance"": false}","{""dropout"": 0.25, ""hidden_dims"": [64]}",asoptimizer_cleaned,32602,nucleobase,3,270.29031791399984,51.84588988999985,163.1802541709999,0.010607101999994484,0.48032310400003553,1668.067328,17.08544,90.0,cuda:Tesla T4,"[23507, 5]",23507.0,9095.0,ok,0.1326444399,1259.958,L,MLP,gpu,g4dn
batch_gpu,g4dn.2xlarge,MLP,KMersCounts,"{""k"": [1], ""modification_abundance"": false}","{""dropout"": 0.25, ""hidden_dims"": [64]}",asoptimizer_cleaned,32602,nucleobase,4,250.18339377899974,52.42406819100006,142.23184269800004,0.011074236999775167,0.48032310400003553,1675.870208,17.08544,71.0,cuda:Tesla T4,"[25606, 5]",25606.0,6996.0,ok,0.1326444399,1259.958,L,MLP,gpu,g4dn
